pokemon_key,form_key,ability_key,ability_name,ability_description,is_hidden,slot
bulbasaur,default,overgrow,しんりょく,"ＨＰが 減ったとき くさタイプの 技の 威力が 上がる。",0,1
bulbasaur,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",1,3
ivysaur,default,overgrow,しんりょく,"ＨＰが 減ったとき くさタイプの 技の 威力が 上がる。",0,1
ivysaur,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",1,3
venusaur,default,overgrow,しんりょく,"ＨＰが 減ったとき くさタイプの 技の 威力が 上がる。",0,1
venusaur,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",1,3
venusaur,mega,thick-fat,あついしぼう,"厚い 脂肪で 守られているので ほのおタイプと こおりタイプの 技の ダメージを 半減させる。",0,1
charmander,default,blaze,もうか,"ＨＰが 減ったとき ほのおタイプの 技の 威力が 上がる。",0,1
charmander,default,solar-power,サンパワー,"天気が 晴れると 特攻が 上がるが 毎ターン ＨＰが 減る。",1,3
charmeleon,default,blaze,もうか,"ＨＰが 減ったとき ほのおタイプの 技の 威力が 上がる。",0,1
charmeleon,default,solar-power,サンパワー,"天気が 晴れると 特攻が 上がるが 毎ターン ＨＰが 減る。",1,3
charizard,default,blaze,もうか,"ＨＰが 減ったとき ほのおタイプの 技の 威力が 上がる。",0,1
charizard,default,solar-power,サンパワー,"天気が 晴れると 特攻が 上がるが 毎ターン ＨＰが 減る。",1,3
charizard,mega-x,tough-claws,かたいツメ,"相手に 接触する 技の 威力が 高くなる。",0,1
charizard,mega-y,drought,ひでり,"登場 したときに 天気を 晴れに する。",0,1
squirtle,default,torrent,げきりゅう,"ＨＰが 減ったとき みずタイプの 技の 威力が 上がる。",0,1
squirtle,default,rain-dish,あめうけざら,"天気が 雨のとき 少しずつ ＨＰを 回復する。",1,3
wartortle,default,torrent,げきりゅう,"ＨＰが 減ったとき みずタイプの 技の 威力が 上がる。",0,1
wartortle,default,rain-dish,あめうけざら,"天気が 雨のとき 少しずつ ＨＰを 回復する。",1,3
blastoise,default,torrent,げきりゅう,"ＨＰが 減ったとき みずタイプの 技の 威力が 上がる。",0,1
blastoise,default,rain-dish,あめうけざら,"天気が 雨のとき 少しずつ ＨＰを 回復する。",1,3
blastoise,mega,mega-launcher,メガランチャー,"波動の 技の 威力が 高くなる。",0,1
caterpie,default,shield-dust,りんぷん,"りんぷんに 守られて 技の 追加効果を 受けなくなる。",0,1
caterpie,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",1,3
metapod,default,shed-skin,だっぴ,"体の 皮を 脱ぎ捨てることで 状態異常を 治すことが ある。",0,1
