rule,pokemon_key,form_key,move_name,memo
champions,garchomp,default,つるぎのまい,
champions,garchomp,default,ほのおのキバ,
champions,garchomp,default,ストーンエッジ,
champions,garchomp,default,いわなだれ,
champions,garchomp,default,がんせきふうじ,
champions,garchomp,default,ステルスロック,
champions,garchomp,default,どくづき,
champions,garchomp,default,じしん,
champions,garchomp,default,まきびし,
champions,garchomp,default,げきりん,
champions,garchomp,default,ドラゴンテール,
champions,garchomp,default,スケイルショット,
champions,garchomp,default,アイアンヘッド,
champions,archaludon,default,みがわり,
champions,archaludon,default,ほえる,
champions,archaludon,default,エレクトロビーム,
champions,archaludon,default,１０まんボルト,
champions,archaludon,default,でんじは,
champions,archaludon,default,ステルスロック,
champions,archaludon,default,はどうだん,
champions,archaludon,default,ミラーコート,
champions,archaludon,default,ドラゴンテール,
champions,archaludon,default,りゅうせいぐん,
champions,archaludon,default,りゅうのはどう,
champions,archaludon,default,イカサマ,
champions,archaludon,default,てっていこうせん,
champions,archaludon,default,ラスターカノン,
champions,mimikyu,default,いたみわけ,
champions,mimikyu,default,まもる,
champions,mimikyu,default,みがわり,
champions,mimikyu,default,つるぎのまい,
champions,mimikyu,default,ウッドハンマー,
champions,mimikyu,default,おにび,
champions,mimikyu,default,ドレインパンチ,
champions,mimikyu,default,トリックルーム,
champions,mimikyu,default,シャドークロー,
champions,mimikyu,default,かげうち,
champions,mimikyu,default,みちづれ,
champions,mimikyu,default,のろい,
champions,mimikyu,default,ちょうはつ,
champions,mimikyu,default,じゃれつく,
champions,mimikyu,busted,いたみわけ,
champions,mimikyu,busted,まもる,
champions,mimikyu,busted,みがわり,
champions,mimikyu,busted,つるぎのまい,
champions,mimikyu,busted,ウッドハンマー,
champions,mimikyu,busted,おにび,
champions,mimikyu,busted,ドレインパンチ,
champions,mimikyu,busted,トリックルーム,
champions,mimikyu,busted,シャドークロー,
champions,mimikyu,busted,かげうち,
champions,mimikyu,busted,みちづれ,
champions,mimikyu,busted,のろい,
champions,mimikyu,busted,ちょうはつ,
champions,mimikyu,busted,じゃれつく,
champions,meowscarada,default,トリックフラワー,
champions,meowscarada,default,かみなりパンチ,
champions,meowscarada,default,とんぼがえり,
champions,meowscarada,default,パワージェム,
champions,meowscarada,default,どくびし,
champions,meowscarada,default,トリプルアクセル,
champions,meowscarada,default,けたぐり,
champions,meowscarada,default,はどうだん,
champions,meowscarada,default,トリック,
champions,meowscarada,default,イカサマ,
champions,meowscarada,default,ふいうち,
champions,meowscarada,default,はたきおとす,
champions,meowscarada,default,ちょうはつ,
champions,meowscarada,default,じゃれつく,
champions,raichu,default,ねこだまし,
champions,raichu,default,でんこうせっか,
champions,raichu,default,がむしゃら,
champions,raichu,default,アンコール,
champions,raichu,default,みがわり,
champions,raichu,default,くさむすび,
champions,raichu,default,なみのり,
champions,raichu,default,ボルテッカー,
champions,raichu,default,ほっぺすりすり,
champions,raichu,default,でんじほう,
champions,raichu,default,かみなり,
champions,raichu,default,１０まんボルト,
champions,raichu,default,ボルトチェンジ,
champions,raichu,default,きあいだま,
champions,raichu,default,わるだくみ,
champions,raichu,default,みわくのボイス,
champions,raichu,default,マジカルシャイン,
champions,staraptor,default,すてみタックル,
champions,staraptor,default,でんこうせっか,
champions,staraptor,default,みがわり,
champions,staraptor,default,ふきとばし,
champions,staraptor,default,ブレイズキック,
champions,staraptor,default,とんぼがえり,
champions,staraptor,default,ブレイブバード,
champions,staraptor,default,ダブルウイング,
champions,staraptor,default,はねやすめ,
